label: RS XY (Scalar_field_XY)
elapsed_s: 1.461859
python_current_mib: 79.9551
python_peak_mib: 383.6889
rss_delta_mib: 80.0898

[cprofile]
         219 function calls (208 primitive calls) in 1.462 seconds

   Ordered by: cumulative time
   List reduced from 59 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.012    0.006    1.462    1.462 utils_common.py:33(wrapper)
        1    0.000    0.000    1.462    1.462 scalar_fields_XY.py:1061(RS)
        1    0.109    0.109    1.443    1.443 scalar_fields_XY.py:949(_RS_)
        3    0.000    0.000    0.876    0.292 basic.py:126(c2cn)
        3    0.875    0.292    0.875    0.292 {built-in method scipy.fft._pocketfft.pypocketfft.c2c}
        2    0.000    0.000    0.586    0.293 _basic.py:372(fft2)
        2    0.000    0.000    0.586    0.293 _basic.py:277(fftn)
        1    0.439    0.439    0.439    0.439 scalar_fields_XY.py:2722(kernelRS)
        1    0.000    0.000    0.290    0.290 _basic.py:400(ifft2)
        1    0.000    0.000    0.290    0.290 _basic.py:340(ifftn)
        2    0.000    0.000    0.021    0.011 _function_base_impl.py:5050(meshgrid)
        6    0.000    0.000    0.021    0.003 _function_base_impl.py:5196(<genexpr>)
        4    0.021    0.005    0.021    0.005 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.006    0.006 scalar_fields_XY.py:124(__init__)
       12    0.004    0.000    0.004    0.000 {built-in method numpy.array}
        2    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:514(broadcast_arrays)
        3    0.000    0.000    0.000    0.000 helper.py:46(_init_nd_shape_and_axes)
        4    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:373(_broadcast_to)
        3    0.000    0.000    0.000    0.000 helper.py:21(_iterable_of_int)
        3    0.000    0.000    0.000    0.000 helper.py:85(_asfarray)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        3    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        3    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.000    0.000 utils_common.py:678(get_date)
        3    0.000    0.000    0.000    0.000 helper.py:117(_fix_shape)
      6/1    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      6/1    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}


